Topic ID	Topic	Link
10	Verkuerztes-Abitur-G8-oder-G9	http://www.berlin.de/sen/bildung/bildungswege/gymnasium/
10	Verkuerztes-Abitur-G8-oder-G9	http://www.km.bayern.de/allgemein/meldung/2938/kultusminister-begruesst-resolution-der-regierungsfraktion.html
10	Verkuerztes-Abitur-G8-oder-G9	http://www.km.bayern.de/allgemein/meldung/1434/g8-lehrplan-ergebnisse-der-evaluation-und-ueberarbeiteter-lehrplan-sind-online.html
10	Verkuerztes-Abitur-G8-oder-G9	http://www.kultusportal-bw.de/,Lde/770365
10	Verkuerztes-Abitur-G8-oder-G9	http://www.kultusportal-bw.de/,Lde/Startseite/schulebw/Ideenboerse+G8
10	Verkuerztes-Abitur-G8-oder-G9	http://www.bildungsserver.de/innovationsportal/bildungplus.html?artid=646
10	Verkuerztes-Abitur-G8-oder-G9	http://www.taz.de/Bildungsforscher-ueber-Abiturdauer/!5087586/
11	Rechtsextremismus-Antisemitismus-Rassismus	http://www.lehrer-online.de/holocaust-leugner.php
11	Rechtsextremismus-Antisemitismus-Rassismus	http://baustein.dgb-bwt.de/index.php4
11	Rechtsextremismus-Antisemitismus-Rassismus	http://www.lehrer-online.de/rechtsextremismus.php?sid=13320885595640965819495069506400
11	Rechtsextremismus-Antisemitismus-Rassismus	http://www.dir-info.de/literatur/begreifen/
11	Rechtsextremismus-Antisemitismus-Rassismus	https://www.verfassungsschutz.de/de/service/glossar/rechtsextremismus
11	Rechtsextremismus-Antisemitismus-Rassismus	http://www.lehrer-online.de/222025.php
11	Rechtsextremismus-Antisemitismus-Rassismus	http://www.lehrer-online.de/pegida.php
